gene,stage_plot,average_expression,percent_expressing,term_group,go_id,also_in_other_term
Hdac6,TAC-TEC,0.0339390567840277,9.80861244019139,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac6,Aire-positive,0.0277368377889146,4.98177399756987,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac6,Aire-positive,0.0277368377889146,4.98177399756987,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac6,Late-Aire,0.00866479892446849,2.04841713221601,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac6,Late-Aire,0.00866479892446849,2.04841713221601,Androgen_receptor_signaling,GO:0030521,TRUE
Hdac6,Tuft,0.119402313326134,16,Estrogen_receptor_signaling,GO:0030520,TRUE
Hdac6,Tuft,0.119402313326134,16,Androgen_receptor_signaling,GO:0030521,TRUE
Heyl,cTEC,0.0376544306193259,4.20168067226891,Androgen_receptor_signaling,GO:0030521,FALSE
Heyl,Ccl21a-high,0.112649295872189,16.4912280701754,Androgen_receptor_signaling,GO:0030521,FALSE
Heyl,TAC-TEC,0.00962025349893443,1.91387559808612,Androgen_receptor_signaling,GO:0030521,FALSE
Heyl,Aire-positive,0.0226377344075633,3.52369380315917,Androgen_receptor_signaling,GO:0030521,FALSE
Heyl,Late-Aire,0.0386633838151183,5.02793296089385,Androgen_receptor_signaling,GO:0030521,FALSE
Heyl,Tuft,0.00871646034341781,1.33333333333333,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,cTEC,0.232668494719333,21.0084033613445,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,Ccl21a-high,0.131162430322197,17.1929824561404,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,TAC-TEC,0.171745499063733,25.1196172248804,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,Aire-positive,0.301238516508681,28.7970838396112,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,Late-Aire,0.911496199333578,49.5344506517691,Androgen_receptor_signaling,GO:0030521,FALSE
Igf1,Tuft,0.120850768030725,13.3333333333333,Androgen_receptor_signaling,GO:0030521,FALSE
Isl1,cTEC,0.709452374195511,59.6638655462185,Estrogen_receptor_signaling,GO:0030520,FALSE
